ID,RECORDTYPEID,COUNTRY_OVERRIDE_VOD__C,EVENT_CONFIGURATION_VOD__C,EVENT_LAYOUT_VOD__C,EVENT_STATUS_VOD__C,EVENT_TEAM_ROLE_VOD__C,EXPENSE_ESTIMATE_LAYOUT_VOD__C,EXPENSE_HEADER_LAYOUT_VOD__C,EXPENSE_LINE_LAYOUT_VOD__C,EXTERNAL_ID__C,USER_PROFILE_ID_VOD__C,USER_PROFILE_VOD__C,VISIBLE_BUTTONS_VOD__C,EVENT_OBJECT_NAME_VOD__C,PAGE_LAYOUT_VOD__C,RECORD_TYPE_VOD__C
a4d3E00000002ITQAY,012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Canceled_vod,,BMS Expense Estimate Read Only,BMS Simple Expense Header ReadOnly Layout,BMS Simple Expense Line Readonly Layout,EPL -000000030922,,,,,,
a4d3E000000021HQAQ,012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_PrePostEvent,Pending_Approval_vod,,BMS Expense Estimate Layout,BMS Simple Expense Header Layout,BMS Simple Expense Line Layout,EPL -0000000291,00ed00000019hV7AAI,System Administrator,;Recall_Approval_Request_vod;,,,
a4d3E000000020YQAQ,012d0000000XPG9AAO,a4a3E00000002l6QAA,a4b3E00000001J3QAI,BMS_Simple_PrePostEvent,Pre-Event,,BMS Expense Estimate Layout,BMS Simple Expense Header Layout,BMS Simple Expense Line Layout,EPL -0000000300,,,;Edit;Attendee_Reconciliation_vod;Manage_Attendees_vod;Reschedule_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;Submit_for_SFDC_Approval_BMS;,,,
a4d3E00000001xFQAQ,012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Pre-Event,Read Only,BMS Expense Estimate Read Only,BMS Simple Expense Header ReadOnly Layout,BMS Simple Expense Line Readonly Layout,EPL -0000000249,,,,,,
a4d3E00000001y8QAA,012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_PrePostEvent,Post-Event,,BMS Expense Estimate Layout,BMS Simple Expense Header Layout,BMS Simple Expense Line Layout,EPL -0000000261,,,;Edit;Close_vod;Attendee_Reconciliation_vod;Manage_Attendees_vod;Reschedule_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;Submit_for_Approval_vod;,,,
a4d3E000000022KQAQ,012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_ApprovedPostEvent,Approved_vod,,,,,EPL -0000000304,,,;Replan_BMS;PostEventPostApproval;Attendee_Reconciliation_vod;Manage_Attendees_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;,,,
a4d3E0000000220QAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Pending_Approval_vod,,,,,EPL -00000003001,,,,EM_Event_Material_vod,Simple Material,
a4d3E00000001xtQAA,012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Post-Event,Read Only,BMS Expense Estimate Read Only,BMS Simple Expense Header ReadOnly Layout,BMS Simple Expense Line Readonly Layout,EPL -0000000258,,,,,,
a4d3E00000001zzQAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,,Read Only,,,,EPL -0000000279,,,,EM_Event_Speaker_vod,BMS Services Simplified Event Speaker Layout,
a4d3E000000022tQAA,012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Pending_Approval_vod,Organizer_vod,BMS Expense Estimate Read Only,BMS Simple Expense Header ReadOnly Layout,BMS Simple Expense Line Readonly Layout,EPL -0000000309,,,;Recall_Approval_Request_vod;,,,
a4d3E000000020xQAA,012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Pending_Approval_vod,,BMS Expense Estimate Read Only,BMS Simple Expense Header ReadOnly Layout,BMS Simple Expense Line Readonly Layout,EPL -0000000287,,,,,,
a4d3E000000022ZQAQ,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Post-Event-PostApproval,,,,,EPL -0000000307,,,,EM_Attendee_vod,BMS_HCPTS_Simple_Attendee_Layout,
a4d3E00000002BRQAY,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Post-Event,Read Only,,,,EPL -00000129881,,,,Expense_Header_vod,BMS Simple Expense Header ReadOnly Layout,
a4d3E00000002BMQAY,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Post-Event,Read Only,,,,EPL -00000129993,,,,EM_Expense_Estimate_vod,BMS Expense Estimate Simple Read Only,
a4d3E000000029VQAQ,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Approved_vod,,,,,EPL -0000001362,,,,EM_Expense_Estimate_vod,BMS Expense Estimate Simple Read Only,
a4d3E00000002AiQAI,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Post-Event-PostApproval,Read Only,,,,EPL -03322362,,,,Expense_Line_vod,BMS Simple Expense Line Readonly Layout,
a4d3E0000000288QAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,,,,,,EPL -00000002779,,,;Delete;,EM_Event_Team_Member_vod,Simple Activity Team Member Layout,Activity_Team_Member_Simple_HCPTS
a4d3E00000002ATQAY,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Post-Event-PostApproval,,,,,EPL -00013212362,,,;Edit;Delete;,Expense_Header_vod,BMS Event Speaker Expense Header Layout,
a4d3E00000002A9QAI,012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Post-Event-PostApproval,Read Only,BMS Expense Estimate Read Only,,,EPL -0000011304,,,,,,
a4d3E000000028hQAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Pending_Approval_vod,,,,,EPL -000000099921,,,,Expense_Line_vod,BMS Simple Expense Line Readonly Layout,
a4d3E0000000262QAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,,Read Only,,,,EPL -00000009993,,,,EM_Expense_Estimate_vod,BMS Expense Estimate Simple Read Only,
a4d3E0000000296QAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Pre-Event,Read Only,,,,EPL -00009989883,,,,EM_Expense_Estimate_vod,BMS Expense Estimate Simple Read Only,
a4d3E000000029QQAQ,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Approved_vod,,,,,EPL -0000000362,,,,EM_Event_Budget_vod,Simple WBSCC Budget Layout,WBS_CC_Simple_HCPTS
a4d3E000000029zQAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Approved_vod,Read Only,,,,EPL -0000022362,,,,Expense_Line_vod,BMS Simple Expense Line Readonly Layout,
a4d3E000000028XQAQ,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Pending_Approval_vod,,,,,EPL -00000009991,,,,Expense_Header_vod,BMS Simple Expense Header ReadOnly Layout,
a4d3E000000028mQAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Pending_Approval_vod,,,,,EPL -00009909883,,,,EM_Expense_Estimate_vod,BMS Expense Estimate Simple Read Only,
a4d3E0000000291QAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Pre-Event,Read Only,,,,EPL -000000889921,,,,Expense_Line_vod,BMS Simple Expense Line Readonly Layout,
a4d3E000000029uQAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Approved_vod,Read Only,,,,EPL -0000012362,,,,Expense_Header_vod,BMS Simple Expense Header ReadOnly Layout,
a4d3E000000021lQAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Pending_Approval_vod,,,,,EPL -0000000297,,,,EM_Event_Speaker_vod,BMS Services Simplified Event Speaker Layout,
